,time,tx,rx,f-nr
1598,31.070395,f016000300010000000100014d00000100490000000b000000a8,f048000300010000000100014d00000100490000000b0000003e000100160017001200030002001200000000000000000000000000000000000000000000000000000000000000000000003d,True
1664,32.122765,f016000300010000000100014d000001004c0000000b000000ab,f048000300010000000100014d000001004c0000000b0000003e0001000d00120012000300020011000000000000000000000000000000000000000000000000000000000000000000000031,True
1708,32.763625,f016000300010000000100014d000001004e0000000b000000ad,f048000300010000000100014d000001004e0000000b0000003e00010020000e0012000300020010000000000000000000000000000000000000000000000000000000000000000000000041,True
1752,33.504829,f016000300010000000100014d00000100500000000b000000af,f048000300010000000100014d00000100500000000b0000003e0001001e003b001100030002000f003a000000000000000000000000000000000000000000000000000000000000000000a6,True
1796,34.213775,f016000300010000000100014d00000100520000000b000000b1,f048000300010000000100014d00000100520000000b0000003e00010013003a001100030002000e000000000000000000000000000000000000000000000000000000000000000000000061,True
1840,34.869907,f016000300010000000100014d00000100540000000b000000b3,f048000300010000000100014d00000100540000000b0000003e0001001b0039001100030002000d000000000000000000000000000000000000000000000000000000000000000000000069,True
1884,35.591189,f016000300010000000100014d00000100560000000b000000b5,f048000300010000000100014d00000100560000000b0000003e000100200036001100030002000c00000000000000000000000000000000000000000000000000000000000000000000006c,True
1928,36.291962,f016000300010000000100014d00000100580000000b000000b7,f048000300010000000100014d00000100580000000b0000003e000100070035001100030002000b003a0000000000000000000000000000000000000000000000000000000000000000008d,True
1972,36.973056,f016000300010000000100014d000001005a0000000b000000b9,f048000300010000000100014d000001005a0000000b0000003e000100030030001100030002000a00000000000000000000000000000000000000000000000000000000000000000000004b,True
2016,37.712121,f016000300010000000100014d000001005c0000000b000000bb,f048000300010000000100014d000001005c0000000b0000003e0001003500300010000300020009003a000000000000000000000000000000000000000000000000000000000000000000b7,True
2082,38.802411,f016000300010000000100014d000001005f0000000b000000be,f048000300010000000100014d000001005f0000000b0000003e00010030002e0010000300020008000000000000000000000000000000000000000000000000000000000000000000000078,True
2126,39.431743,f016000300010000000100014d00000100610000000b000000c0,f048000300010000000100014d00000100610000000b0000003e0001002f002c0010000300020007003a000000000000000000000000000000000000000000000000000000000000000000b0,True
2170,40.139808,f016000300010000000100014d00000100630000000b000000c2,f048000300010000000100014d00000100630000000b0000003e00010031002b0010000300020006003a000000000000000000000000000000000000000000000000000000000000000000b2,True
2214,40.886536,f016000300010000000100014d00000100650000000b000000c4,f048000300010000000100014d00000100650000000b0000003e00010035002a001000030002000500000000000000000000000000000000000000000000000000000000000000000000007c,True
2258,41.55393,f016000300010000000100014d00000100670000000b000000c6,f048000300010000000100014d00000100670000000b0000003e0001003200290010000300020004003a000000000000000000000000000000000000000000000000000000000000000000b3,True
