25/02/2023  14:04:42

Nr,F-Nr,Flag,Zeit,Datum,Anzahl,Status,Fehlertext,Info-Txt,Info-Txt,
70,268,1 kommen,18:25:26,03.02,149,,9268 power supply  notifies to cpu mains voltage too low,0,,
71,241,1 kommen,18:24:52,03.02,4,,F161 Error flowmeter occurs during brewing cycle,0,,
72,271,1 kommen,18:24:37,03.02,7,,F9271 oscillation pump swiches to coast down operation mode,3,,
73,62,1 kommen,18:23:22,03.02,18,,9062 Reset event!,0,Unbekannt,
74,268,1 kommen,18:21:05,03.02,147,,9268 power supply  notifies to cpu mains voltage too low,0,,
75,76,1 kommen,18:20:58,03.02,12,,No water pressure,0,,
76,62,1 kommen,18:18:13,03.02,17,,9062 Reset event!,0,Unbekannt,
77,268,1 kommen,18:18:08,03.02,145,,9268 power supply  notifies to cpu mains voltage too low,0,,
78,62,1 kommen,18:14:32,03.02,16,,9062 Reset event!,0,Unbekannt,
79,268,1 kommen,18:00:11,03.02,143,,9268 power supply  notifies to cpu mains voltage too low,0,,
80,62,1 kommen,17:59:30,03.02,15,,9062 Reset event!,58,?,
81,268,1 kommen,17:59:28,03.02,140,,9268 power supply  notifies to cpu mains voltage too low,0,,
82,62,1 kommen,17:58:19,03.02,14,,9062 Reset event!,0,Unbekannt,
83,268,1 kommen,17:58:13,03.02,138,,9268 power supply  notifies to cpu mains voltage too low,0,,
84,62,1 kommen,17:57:27,03.02,13,,9062 Reset event!,0,Unbekannt,
85,268,1 kommen,17:57:22,03.02,136,,9268 power supply  notifies to cpu mains voltage too low,0,,
86,62,1 kommen,17:54:32,03.02,12,,9062 Reset event!,0,Unbekannt,
87,268,1 kommen,17:54:00,03.02,134,,9268 power supply  notifies to cpu mains voltage too low,0,,
88,62,1 kommen,17:53:07,03.02,11,,9062 Reset event!,58,?,
89,268,1 kommen,17:53:04,03.02,131,,9268 power supply  notifies to cpu mains voltage too low,0,,
90,62,1 kommen,17:48:03,03.02,10,,9062 Reset event!,0,Unbekannt,
91,268,1 kommen,17:31:36,03.02,129,,9268 power supply  notifies to cpu mains voltage too low,0,,
92,62,1 kommen,16:48:53,03.02,9,,9062 Reset event!,58,?,
93,268,1 kommen,16:48:53,03.02,126,,9268 power supply  notifies to cpu mains voltage too low,0,,
94,76,1 kommen,16:47:08,03.02,11,,No water pressure,0,,
95,62,1 kommen,16:46:48,03.02,8,,9062 Reset event!,0,Unbekannt,
96,268,1 kommen,16:46:17,03.02,124,,9268 power supply  notifies to cpu mains voltage too low,0,,
97,62,1 kommen,16:44:47,03.02,7,,9062 Reset event!,58,?,
98,268,1 kommen,16:44:44,03.02,121,,9268 power supply  notifies to cpu mains voltage too low,0,,
99,62,1 kommen,16:43:49,03.02,6,,9062 Reset event!,58,?,
100,268,1 kommen,16:43:49,03.02,118,,9268 power supply  notifies to cpu mains voltage too low,0,,
101,62,1 kommen,16:42:53,03.02,5,,9062 Reset event!,0,Unbekannt,
102,268,1 kommen,16:42:46,03.02,116,,9268 power supply  notifies to cpu mains voltage too low,0,,
103,62,1 kommen,16:41:50,03.02,4,,9062 Reset event!,58,?,
104,268,1 kommen,16:41:50,03.02,113,,9268 power supply  notifies to cpu mains voltage too low,0,,
105,62,1 kommen,16:39:16,03.02,3,,9062 Reset event!,0,Unbekannt,
106,268,1 kommen,16:39:12,03.02,111,,9268 power supply  notifies to cpu mains voltage too low,0,,
107,76,1 kommen,15:49:31,03.02,10,,No water pressure,0,,
108,271,1 kommen,15:49:16,03.02,6,,F9271 oscillation pump swiches to coast down operation mode,3,,
109,68,2 gehen,15:48:29,03.02,2,,Grouts container withdrawn,0,,
110,68,1 kommen,15:47:30,03.02,2,,Grouts container withdrawn,0,,
111,68,2 gehen,15:47:30,03.02,1,,Grouts container withdrawn,0,,
112,68,1 kommen,15:47:27,03.02,1,,Grouts container withdrawn,0,,
113,62,1 kommen,15:47:05,03.02,2,,9062 Reset event!,0,Unbekannt,
114,268,1 kommen,15:46:59,03.02,109,,9268 power supply  notifies to cpu mains voltage too low,0,,
115,76,1 kommen,15:44:50,03.02,9,,No water pressure,0,,
116,271,1 kommen,15:44:34,03.02,5,,F9271 oscillation pump swiches to coast down operation mode,3,,
117,62,1 kommen,15:43:25,03.02,1,,9062 Reset event!,0,Unbekannt,
118,62,1 kommen,15:43:21,03.02,23,,9062 Reset event!,26,Reset bei Maschinendaten kopieren,
119,61,2 gehen,15:42:19,03.02,3,,9061 Standby event,3,KD (Servicebetrieb),
120,62,1 kommen,15:42:19,03.02,22,,9062 Reset event!,46,Reset über Servicebetrieb,
121,61,1 kommen,15:42:19,03.02,3,,9061 Standby event,3,KD (Servicebetrieb),
122,62,1 kommen,15:10:52,03.02,21,,9062 Reset event!,0,Unbekannt,
123,268,1 kommen,16:03:34,02.02,107,,9268 power supply  notifies to cpu mains voltage too low,0,,
124,62,1 kommen,11:40:18,02.02,20,,9062 Reset event!,0,Unbekannt,
125,268,1 kommen,11:28:51,02.02,105,,9268 power supply  notifies to cpu mains voltage too low,0,,
126,62,1 kommen,11:23:56,02.02,19,,9062 Reset event!,0,Unbekannt,
127,268,1 kommen,11:07:02,02.02,103,,9268 power supply  notifies to cpu mains voltage too low,0,,
128,62,1 kommen,11:02:47,02.02,18,,9062 Reset event!,0,Unbekannt,
129,268,1 kommen,10:18:12,26.01,101,,9268 power supply  notifies to cpu mains voltage too low,0,,
130,62,1 kommen,10:16:02,26.01,17,,9062 Reset event!,0,Unbekannt,
131,268,1 kommen,10:15:57,26.01,99,,9268 power supply  notifies to cpu mains voltage too low,0,,
132,62,1 kommen,10:14:07,26.01,16,,9062 Reset event!,0,Unbekannt,
133,268,1 kommen,10:14:02,26.01,97,,9268 power supply  notifies to cpu mains voltage too low,0,,
134,62,1 kommen,10:03:38,26.01,15,,9062 Reset event!,0,Unbekannt,
135,268,1 kommen,16:37:40,25.01,95,,9268 power supply  notifies to cpu mains voltage too low,0,,
136,62,1 kommen,15:59:31,25.01,14,,9062 Reset event!,0,Unbekannt,
137,268,1 kommen,15:59:26,25.01,93,,9268 power supply  notifies to cpu mains voltage too low,0,,
138,62,1 kommen,14:29:04,25.01,13,,9062 Reset event!,53,Reset über Boot Access,
139,62,1 kommen,11:41:23,25.01,12,,9062 Reset event!,58,?,
140,268,1 kommen,11:41:23,25.01,90,,9268 power supply  notifies to cpu mains voltage too low,0,,
141,62,1 kommen,11:30:23,25.01,11,,9062 Reset event!,0,Unbekannt,
142,268,1 kommen,11:29:36,25.01,88,,9268 power supply  notifies to cpu mains voltage too low,0,,
143,62,1 kommen,11:29:01,25.01,10,,9062 Reset event!,0,Unbekannt,
144,268,1 kommen,11:28:57,25.01,86,,9268 power supply  notifies to cpu mains voltage too low,0,,
145,76,1 kommen,11:28:08,25.01,8,,No water pressure,0,,
146,62,1 kommen,10:32:29,25.01,9,,9062 Reset event!,53,Reset über Boot Access,
147,76,1 kommen,09:36:44,25.01,7,,No water pressure,0,,
148,62,1 kommen,09:29:24,25.01,8,,9062 Reset event!,0,Unbekannt,
149,268,1 kommen,15:12:23,24.01,84,,9268 power supply  notifies to cpu mains voltage too low,0,,
150,62,1 kommen,15:08:48,24.01,7,,9062 Reset event!,0,Unbekannt,
151,268,1 kommen,14:32:27,24.01,82,,9268 power supply  notifies to cpu mains voltage too low,0,,
