time,dir,packet,len
11.547613000,tx,f016000300010000000100064902000000000000000000000056,26
11.563086000,rx,f0180003000100000001000649020000000000000000000000020058,28
11.693255000,tx,f018000500010000000100064902000000000000000000000003005b,28
11.707192000,rx,f016000500010000000100064902000000000000000000000058,26
11.830266000,tx,f01700050001000000010006490100000000000000000000000158,27
11.851129000,rx,f016000500010000000100064901000000000000000000000057,26
12.166713000,tx,f01700050001000000010006490100000000000000000000000057,27
12.187284000,rx,f016000500010000000100064901000000000000000000000057,26
12.304631000,tx,f018000500010000000100064902000000000000000000000002005a,28
12.331356000,rx,f016000500010000000100064902000000000000000000000058,26
14.489085000,tx,f0160003000100000001008145000001000100000009000000d6,26
14.523211000,rx,f0610003000100000001008145000001000100000009000000010191640114000104643800010000004600be002300320000080014000f10055f0000050303000f0134000102000043617070756363696e6f20202020202020202000320000000500de0008,101
16.419936000,tx,f0160003000100000001008145000001000100000009000000d6,26
16.451936000,rx,f0610003000100000001008145000001000100000009000000010191640114000104643800010000004600be002300320000080014000f10055f0000050303000f0134000102000043617070756363696e6f20202020202020202000320000000500de0008,101
18.361759000,tx,f0160003000100000001008145000001000100000009000000d6,26
18.386624000,rx,f0610003000100000001008145000001000100000009000000010191640114000104643800010000004600be002300320000080014000f10055f0000050303000f0134000102000043617070756363696e6f20202020202020202000320000000500de0008,101
20.267832000,tx,f0160003000100000001008145000001000100000009000000d6,26
20.303325000,rx,f0610003000100000001008145000001000100000009000000010191640114000104643800010000004600be002300320000080014000f10055f0000050303000f0134000102000043617070756363696e6f20202020202020202000320000000500de0008,101
22.170853000,tx,f0160003000100000001008145000001000100000009000000d6,26
22.198375000,rx,f0610003000100000001008145000001000100000009000000010191640114000104643800010000004600be002300320000080014000f10055f0000050303000f0134000102000043617070756363696e6f20202020202020202000320000000500de0008,101
24.162365000,tx,f0160003000100000001008145000001000100000009000000d6,26
24.202786000,rx,f0610003000100000001008145000001000100000009000000010191640114000104643800010000004600be002300320000080014000f10055f0000050303000f0134000102000043617070756363696e6f20202020202020202000320000000500de0008,101
26.188622000,tx,f0160003000100000001008145000001000100000009000000d6,26
26.214509000,rx,f0610003000100000001008145000001000100000009000000010191640114000104643800010000004600be002300320000080014000f10055f0000050303000f0134000102000043617070756363696e6f20202020202020202000320000000500de0008,101
28.404904000,tx,f0160003000100000001008145000001000100000009000000d6,26
28.432236000,rx,f0610003000100000001008145000001000100000009000000010191640114000104643800010000004600be002300320000080014000f10055f0000050303000f0134000102000043617070756363696e6f20202020202020202000320000000500de0008,101
30.574334000,tx,f0160003000100000001008145000001000100000009000000d6,26
30.603223000,rx,f0610003000100000001008145000001000100000009000000010191640114000104643800010000004600be002300320000080014000f10055f0000050303000f0134000102000043617070756363696e6f20202020202020202000320000000500de0008,101
32.489562000,tx,f0160003000100000001008145000001000100000009000000d6,26
32.522972000,rx,f0610003000100000001008145000001000100000009000000010191640114000104643800010000004600be002300320000080014000f10055f0000050303000f0134000102000043617070756363696e6f20202020202020202000320000000500de0008,101
34.431810000,tx,f0160003000100000001008145000001000100000009000000d6,26
34.469835000,rx,f0610003000100000001008145000001000100000009000000010191640114000104643800010000004600be002300320000080014000f10055f0000050303000f0134000102000043617070756363696e6f20202020202020202000320000000500de0008,101
36.358974000,tx,f0160003000100000001008145000001000100000009000000d6,26
36.386579000,rx,f0610003000100000001008145000001000100000009000000010191640114000104643800010000004600be002300320000080014000f10055f0000050303000f0134000102000043617070756363696e6f20202020202020202000320000000500de0008,101
38.277538000,tx,f0160003000100000001008145000001000100000009000000d6,26
