time,dir,packet,len
6.651130000,tx,f0160003000100000001008652000001000000000000000000de,26
6.682936000,rx,f034000300010000000100865200000100000000000000000014003a003c00ffffffffffff7701c80005007000000400003300000000004e,56
6.744456000,tx,f017000500010000000100004d020000000000000000000000055b,27
6.762954000,rx,f016000500010000000100004d02000000000000000000000056,26
6.771928000,tx,f017000500010000000100004d0300000000000000000000000b62,27
6.778949000,rx,f016000500010000000100004d03000000000000000000000057,26
6.797859000,tx,f017000500010000000100004d0100000000000000000000000156,27
6.826955000,rx,f016000500010000000100004d01000000000000000000000055,26
6.831773000,tx,f018000500010000000100004d040000000000000000000000010059,28
6.858953000,rx,f016000500010000000100004d04000000000000000000000058,26
6.864758000,tx,f016000300010000000100004d00000100000000000000000053,26
6.891007000,rx,f01b000300010000000100004d00000100000000000000000003050b010067,31
6.899130000,tx,f016000300010000000100014d00000100010000000b00000060,26
6.933971000,rx,f048000300010000000100014d00000100010000000b0000003e000100220031000d00190002000100000000000000000000000000000000000000000000000000000000000000000000001b,76
6.942153000,tx,f016000300010000000100118b010000000000000000000000a2,26
6.966024000,rx,f034000300010000000100118b01000000000000000000000033313420574d462d414700000000000000000000000000000000000000fbf4,56
6.972905000,tx,f016000300010000000100108b010000000000000000000000a1,26
6.998034000,rx,f01a000300010000000100108b010000000000000000000000de1f01009f,30
7.003886000,tx,f016000300010000000100014d05000000000000000000000058,26
7.030086000,rx,f018000300010000000100014d0500000000000000000000000d0065,28
7.038316000,tx,f016000300010000000100014d04000000000000000000000057,26
7.062089000,rx,f018000300010000000100014d040000000000000000000000310088,28
7.071794000,tx,f016000300010000000100014d03000000000000000000000056,26
7.094089000,rx,f018000300010000000100014d030000000000000000000000220078,28
7.099301000,tx,f016000300010000000100014d06000000000000000000000059,26
7.110081000,rx,f018000300010000000100014d060000000000000000000000190072,28
7.114228000,tx,f016000300010000000100014d0700000000000000000000005a,26
7.142097000,rx,f018000300010000000100014d07000000000000000000000002005c,28
7.148592000,tx,f016000300010000000100014d0800000000000000000000005b,26
7.158093000,rx,f018000300010000000100014d08000000000000000000000001005c,28
7.164312000,tx,f016000300010000000100014d0900000000000000000000005c,26
7.190137000,rx,f018000300010000000100014d09000000000000000000000000005c,28
7.201178000,tx,f017000500010000000100004d0100000000000000000000000156,27
7.222136000,rx,f016000500010000000100004d01000000000000000000000055,26
7.228399000,tx,f018000500010000000100004d04000000000000000000000002005a,28
7.254139000,rx,f016000500010000000100004d04000000000000000000000058,26
7.262073000,tx,f016000300010000000100004d00000100000000000000000053,26
7.286207000,rx,f01b000300010000000100004d00000100000000000000000003050b020068,31
7.297377000,tx,f016000300010000000100014d00000100020000000b00000061,26
7.332179000,rx,f048000300010000000100014d00000100020000000b0000003e0001001e0031000d001900020004001a00000000000000000000000000000000000000000000000000000000000000000035,76
7.346010000,tx,f016000300010000000100014d05000000000000000000000058,26
7.364211000,rx,f018000300010000000100014d0500000000000000000000000d0065,28
7.373589000,tx,f016000300010000000100014d04000000000000000000000057,26
7.396309000,rx,f018000300010000000100014d040000000000000000000000310088,28
7.400107000,tx,f016000300010000000100014d03000000000000000000000056,26
7.428324000,rx,f018000300010000000100014d0300000000000000000000001e0074,28
7.432645000,tx,f016000300010000000100014d06000000000000000000000059,26
7.460177000,rx,f018000300010000000100014d060000000000000000000000190072,28
7.466015000,tx,f016000300010000000100014d0700000000000000000000005a,26
7.492311000,rx,f018000300010000000100014d07000000000000000000000002005c,28
7.499253000,tx,f016000300010000000100014d0800000000000000000000005b,26
7.524286000,rx,f018000300010000000100014d08000000000000000000000004005f,28
7.531695000,tx,f016000300010000000100014d0900000000000000000000005c,26
7.556379000,rx,f018000300010000000100014d0900000000000000000000001a0076,28
7.567023000,tx,f017000500010000000100004d0100000000000000000000000156,27
7.588383000,rx,f016000500010000000100004d01000000000000000000000055,26
7.592886000,tx,f018000500010000000100004d04000000000000000000000003005b,28
7.604486000,rx,f016000500010000000100004d04000000000000000000000058,26
7.613731000,tx,f016000300010000000100004d00000100000000000000000053,26
7.636272000,rx,f01b000300010000000100004d00000100000000000000000003050b030069,31
7.643144000,tx,f016000300010000000100014d00000100030000000b00000062,26
7.674341000,rx,f048000300010000000100014d00000100030000000b000000f3000100080010000d001900020001000000000000000000000000000000000000000000000000000000000000000000000097,76
7.686319000,tx,f016000300010000000100014d05000000000000000000000058,26
7.770540000,rx,f018000300010000000100014d0500000000000000000000000d0065,28
7.776957000,tx,f016000300010000000100014d04000000000000000000000057,26
7.802541000,rx,f018000300010000000100014d040000000000000000000000100067,28
7.809515000,tx,f016000300010000000100014d03000000000000000000000056,26
7.834463000,rx,f018000300010000000100014d03000000000000000000000008005e,28
7.842877000,tx,f016000300010000000100014d06000000000000000000000059,26
