
25/02/2023  14:20:44

;4500 - 1;;4501 - 2;;4502 - 3;;4503 - 4;;4504 - 5;;4505 - 6;;4506 - 7;;4507 - 8;;4508 - 9;;4509 - 10;;450A - 11;;450B - 12;;450C - 13;;450D - 14;;450E - 15;;450F - 16;;4510 - 17;;4511 - 18;;4512 - 19;;4513 - 20;;0014 - 21;;0015 - 22;;0016 - 23;;0017 - 24;;0018 - 25;;0019 - 26;;001A - 27;;001B - 28;;001C - 29;;001D - 30;;001E - 31;;001F - 32;;0020 - 33;;0021 - 34;;0022 - 35;;0023 - 36;;0024 - 37;;0025 - 38;;0026 - 39;;0027 - 40;;0028 - 41;;0029 - 42;;002A - 43;;002B - 44;;002C - 45;;002D - 46;;002E - 47;;002F - 48;;0030 - 49;;0031 - 50;;0032 - 51;;0033 - 52;;0034 - 53;;0035 - 54;;0036 - 55;;0037 - 56;;0038 - 57;;0039 - 58;
13 zmaktiv;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14 zmstart;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15 zmlang;16;;16;;50;;50;;16;;16;;16;;16;;16;;16;;50;;50;;16;;50;;16;;50;;16;;15;;16;1;16;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16 bkstart;5;;5;;5;;5;;5;;0;;0;;0;;0;;0;;5;;5;;5;;5;;0;;5;;0;;0;;5;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17 bklang;95;;95;;95;;95;;95;;1;;1;;1;;1;;1;;95;;95;;95;;95;;1;;95;;1;;1;;95;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18 ZgbMehl;0;;0;;0;;0;;52;;45;;0;;0;;0;;0;;0;;0;;0;;0;;0;;62;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19 jklang;0;;5;;0;;0;;5;;0;;0;;0;;0;;0;;5;;5;;0;;0;;0;;5;;0;;0;;5;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1A capvar;3;;3;;3;;0;;3;;0;;0;;0;;0;;0;;3;;0;;3;;0;;0;;3;;0;;0;;3;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1B milvar;3;;3;;3;;0;;0;;0;;0;;0;;0;;0;;3;;0;;3;;0;;0;;0;;0;;0;;3;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1C dosvar;0;;0;;0;;0;;1;;1;;0;;0;1;0;;0;;0;;0;;0;;0;;2;;3;;0;;3;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1D tropre;15;;15;;15;;15;;15;;10;;10;;10;;10;;10;;15;;15;;15;;15;;10;;15;;10;;10;;15;1;10;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1E mtropre;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1F brzeit;53;1;50;1;65;;58;1;59;1;10;;20;;20;;20;;20;;43;;35;;51;;61;;20;;47;;20;;20;;10;1;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20 vorwl;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21 munzp;1;;2;;0;;0;;2;;0;;0;;0;;0;;0;;2;;2;;1;;1;;0;;2;;0;;0;;2;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22 preis;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23 fehler;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24 text;Latte              ;;1 cappuccino       ;1;White Coffee       ;;Americano          ;;mocha              ;1;Hot Chocolate      ;;blocked            ;;blocked            ;1;blocked            ;;blocked            ;;2 Cappuccino       ;;2 espresso         ;;2 cafe latte       ;;2 cafe creme       ;;milk free flow     ;;chociatto          ;;blocked            ;;Hot water          ;;1 cappuccino       ;1;blocked            ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25 BrTakt;50;;50;;50;;50;;50;;50;;50;;50;;50;;50;;50;;50;;50;;50;;50;;50;;50;;50;;50;1;50;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26 AusgPos;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27 ZgbWass;0;;0;;0;;0;;170;;190;;0;;0;;0;;0;;0;;0;;0;;0;;0;;80;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28 MilQual;5;;5;;5;;5;;5;;0;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;0;1;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29 count;957;1;907;1;287;1;214;;585;1;441;1;0;;0;1;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

