
25/02/2023  14:21:03

;0000 - 1;;0001 - 2;;0002 - 3;;0003 - 4;;0004 - 5;;0005 - 6;;0006 - 7;;0007 - 8;;0008 - 9;;0009 - 10;;000A - 11;;000B - 12;;000C - 13;;000D - 14;;000E - 15;;000F - 16;;0010 - 17;;0011 - 18;;0012 - 19;;0013 - 20;;0014 - 21;;0015 - 22;;0016 - 23;;0017 - 24;;0018 - 25;;0019 - 26;;001A - 27;;001B - 28;;001C - 29;;001D - 30;;001E - 31;;001F - 32;;0020 - 33;;0021 - 34;;0022 - 35;;0023 - 36;;0024 - 37;;0025 - 38;;0026 - 39;;0027 - 40;;0028 - 41;;0029 - 42;;002A - 43;;002B - 44;;002C - 45;;002D - 46;;002E - 47;;002F - 48;;0030 - 49;;0031 - 50;;0032 - 51;;0033 - 52;;0034 - 53;;0035 - 54;;0036 - 55;;0037 - 56;;0038 - 57;;0039 - 58;
0B mehlm2;0x00000000;1;0x00000001;1;0x00000001;1;0x00000010;1;0x00000010;1;0x00000010;1;0x00000010;1;0x00000001;1;0x00000001;1;0x00000010;1;0x00000010;1;0x00000010;1;0x00000010;1;0x00000001;1;0x00000001;1;0x00000001;1;0x00000001;1;0x00000001;1;0x00000001;1;0x00000001;1;0x00000001;1;0x00000001;1;0x00000001;1;0x00010000;1;0x00010000;1;0x00000001;1;0x00000000;1;0x00000001;1;0x00000001;1;0x00000001;1;0x00000001;1;0x00000001;1;0x00010000;1;0x00000001;1;0x00000001;1;0x00000001;1;0x00000001;1;0x00000001;1;0x00000001;1;0x00000000;1;0x00000000;1;0x00000001;1;0x00000001;1;0x00000001;1;0x00000001;1;0x00000001;1;0x00000001;1;0x00001000;1;0x00001000;1;0x00001000;1;0x00001000;1;0x00001000;1;0x00010000;1;0x00001000;1;0x00000001;1;0x00010000;1;0x00000001;1;0x00000001;
0C wassm;100;1;35;1;70;1;140;1;280;1;180;1;180;1;35;1;70;1;70;1;140;1;65;1;65;1;10;1;10;1;10;1;10;1;10;1;10;1;10;1;40;1;80;1;25;1;10;1;10;1;30;1;10;1;35;1;35;1;70;1;40;1;35;1;10;1;55;1;110;1;55;1;170;1;170;1;170;1;250;1;250;1;125;1;250;1;200;1;250;1;250;1;40;1;10;1;10;1;10;1;10;1;10;1;10;1;10;1;30;1;10;1;35;1;70;
0D dosmeng;0;1;105;1;205;1;0;1;0;1;0;1;0;1;0;1;0;1;60;1;130;1;85;1;85;1;100;1;90;1;90;1;100;1;90;1;0;1;180;1;130;1;260;1;30;1;0;1;0;1;80;1;90;1;80;1;140;1;130;1;300;1;130;1;80;1;75;1;140;1;70;1;0;1;0;1;0;1;90;1;90;1;0;1;0;1;0;1;0;1;0;1;80;1;0;1;0;1;100;1;0;1;0;1;100;1;100;1;80;1;150;1;70;1;130;
0E dos001;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;40;1;80;1;40;1;40;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;100;1;200;1;0;1;0;1;0;1;0;1;60;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;60;1;60;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;45;1;90;
0F brw001;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;50;1;50;1;50;1;0;1;0;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;0;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;50;1;0;1;50;1;50;
10 brw002;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;
11 brw003;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;0;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;
12 preinf;0;1;20;1;0;1;0;1;0;1;0;1;0;1;20;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;20;1;0;1;20;1;0;1;0;1;20;1;0;1;20;1;20;1;0;1;20;1;20;1;0;1;20;1;0;1;20;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;20;1;0;1;20;1;0;
13 zmaktiv;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;
14 zmstart;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;30;1;25;1;25;1;25;1;25;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;
15 zmlang;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;100;1;100;1;100;1;100;1;100;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;1;16;
16 bkstart;5;1;5;1;5;1;5;1;5;1;5;1;5;1;5;1;5;1;5;1;5;1;5;1;5;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;5;1;5;1;5;1;0;1;0;1;5;1;0;1;5;1;5;1;5;1;5;1;5;1;0;1;5;1;5;1;5;1;5;1;5;1;5;1;0;1;0;1;5;1;5;1;5;1;5;1;5;1;5;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;5;1;0;1;0;1;0;
17 bklang;95;1;95;1;95;1;95;1;95;1;95;1;95;1;95;1;95;1;95;1;95;1;95;1;95;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;95;1;95;1;95;1;1;1;1;1;95;1;1;1;95;1;95;1;95;1;95;1;95;1;1;1;95;1;95;1;95;1;95;1;95;1;95;1;1;1;1;1;95;1;95;1;95;1;95;1;95;1;95;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;95;1;1;1;95;1;95;
18 ZgbMehl;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;63;1;90;1;60;1;0;1;31;1;0;1;0;1;0;1;60;1;38;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;60;1;60;1;90;1;65;1;70;1;70;1;65;1;65;1;60;1;100;1;0;1;0;
19 jklang;0;1;5;1;0;1;0;1;0;1;0;1;0;1;5;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;5;1;0;1;5;1;0;1;0;1;5;1;0;1;5;1;5;1;0;1;5;1;5;1;0;1;5;1;0;1;5;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;5;1;0;1;5;1;0;
1A capvar;0;1;3;1;3;1;0;1;0;1;0;1;0;1;0;1;0;1;3;1;3;1;3;1;3;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;3;1;3;1;1;1;0;1;0;1;0;1;0;1;3;1;3;1;2;1;1;1;2;1;0;1;2;1;2;1;2;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;1;1;
1B milvar;0;1;3;1;3;1;0;1;0;1;0;1;0;1;0;1;0;1;3;1;3;1;3;1;3;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;3;1;3;1;1;1;0;1;0;1;0;1;0;1;0;1;3;1;3;1;1;1;3;1;0;1;2;1;2;1;2;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;1;1;
