,time,tx,address,rx
76,79.479669,000009000000d8,0300010000000100814500000100030,00000900000003011164010000010064390001000000180100000000320100080000000f32055f0000000000000f013f0001000000416d65726963616e6f2020202020202020202000320000000500d10011
78,80.934252,000000000000a9,0300010000000100505300000100000,000000000000036300c001530076029b
80,100.63209,000000000000a2,0300010000000100118b01000000000,00000000000033313420574d462d414700000000000000000000000000000000000000fbf4
82,100.748157,000000000000a1,0300010000000100108b01000000000,000000000000de1f01009f
84,100.871762,00000000000055,0300010000000100054902000000000,000000000000020057
86,100.9994,00000000000003005a,0500010000000100054902000000000,00000000000057
88,101.190671,0000000000000157,0500010000000100054901000000000,00000000000056
90,101.537156,0000000000000056,0500010000000100054901000000000,00000000000056
92,101.669118,000000000000020059,0500010000000100054902000000000,00000000000057
94,103.955494,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f013f0001000000416d65726963616e6f2020202020202020202000320000000500d20092
96,105.897177,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f013f0001000000416d65726963616e6f2020202020202020202000320000000500d20092
98,107.797076,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f013f0001000000416d65726963616e6f2020202020202020202000320000000500d20092
100,109.72515,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f013f0001000000416d65726963616e6f2020202020202020202000320000000500d20092
102,111.651806,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f013f0001000000416d65726963616e6f2020202020202020202000320000000500d20092
104,113.554568,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f013f0001000000416d65726963616e6f2020202020202020202000320000000500d20092
106,115.480468,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f013f0001000000416d65726963616e6f2020202020202020202000320000000500d20092
108,117.417644,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f013f0001000000416d65726963616e6f2020202020202020202000320000000500d20092
110,119.384697,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f013f0001000000416d65726963616e6f2020202020202020202000320000000500d20092
112,121.311884,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f013f0001000000416d65726963616e6f2020202020202020202000320000000500d20092
114,123.230738,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f013f0001000000416d65726963616e6f2020202020202020202000320000000500d20092
116,125.200569,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f013f0001000000416d65726963616e6f2020202020202020202000320000000500d20092
118,127.11142,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f013f0001000000416d65726963616e6f2020202020202020202000320000000500d20092
120,129.034064,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f013f0001000000416d65726963616e6f2020202020202020202000320000000500d20092
122,130.96152,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f013f0001000000416d65726963616e6f2020202020202020202000320000000500d20092
124,132.887145,000009000000d8,0300010000000100814500000100030,00000900000003010164010000010064390001000000180100000000320100080000000f32055f0000000000000f011d0001000000416d65726963616e6f2020202020202020202000320000000500d200e0
126,135.089182,000009000000d8,0300010000000100814500000100030,00000900000003010164010000010064390001000000180100000000320100080000000f32055f0000000000000f011d0001000000416d65726963616e6f2020202020202020202000320000000500d200e0
128,136.558328,000000000000a9,0300010000000100505300000100000,000000000000036300c0012a012a0126
